start_time,lifespan,cores,job_id
13097,1395,1,20470_1
13121,314,1,20475_1
13121,232,1,20478_1
13170,335,1,20508_1
13175,267,1,20511_1
13175,2476,1,20513_1
13182,272,1,20521_1
13231,1018,1,20544_1
13231,1018,1,20544_2
13231,1018,1,20544_3
13231,1018,1,20544_4
13237,208,1,20546_1
13245,1364,1,20549_1
13249,360,1,20553_1
13249,696,1,20555_1
13249,696,1,20555_2
13253,453,1,20558_1
13258,1178,1,20561_1
13258,1178,1,20561_2
13258,1178,1,20561_3
13258,1178,1,20561_4
13267,313,1,20563_1
13288,768,1,20566_1
13297,536,1,20570_1
13297,536,1,20570_2
13304,409,1,20572_1
13344,1055,1,20580_1
13344,1055,1,20580_2
13386,280,1,20596_1
13517,914,1,20648_1
13521,561,1,20650_1
13521,561,1,20650_2
13559,388,1,20662_1
13563,494,1,20665_1
13563,265,1,20670_1
13569,852,1,20673_1
13569,852,1,20673_2
13582,268,1,20676_1
13587,330,1,20679_1
13595,1279,1,20682_1
13603,374,1,20684_1
13608,264,1,20691_1
13623,222,1,20693_1
13623,380,1,20696_1
13631,218,1,20705_1
13660,1079,1,20718_1
13660,1079,1,20718_2
13675,236,1,20722_1
13684,252,1,20728_1
13704,276,1,20738_1
13707,266,1,20741_1
13746,196,1,20762_1
13772,308,1,20767_1
13782,361,1,20777_1
13800,485,1,20787_1
13802,399,1,20790_1
13809,375,1,20793_1
13809,3303,1,20795_1
13822,454,1,20801_1
13822,324,1,20803_1
13822,931,1,20806_1
13822,931,1,20806_2
13827,255,1,20809_1
13831,324,1,20816_1
13831,338,1,20819_1
13831,363,1,20821_1
13835,353,1,20824_1
13835,253,1,20827_1
13867,330,1,20835_1
13867,340,1,20837_1
13867,2185,1,20840_1
13879,502,1,20843_1
13879,502,1,20843_2
13902,317,1,20862_1
13908,503,1,20868_1
13914,383,1,20870_1
13919,1969,1,20874_1
13941,379,1,20882_1
13941,381,1,20885_1
13945,733,1,20887_1
13945,733,1,20887_2
13957,411,1,20894_1
13957,498,1,20897_1
13963,2312,1,20899_1
14021,289,1,20921_1
14035,192,1,20933_1
14047,378,1,20936_1
14049,862,1,20939_1
14049,862,1,20939_2
14151,310,1,20996_1
14185,226,1,21009_1
14185,234,1,21014_1
14185,261,1,21020_1
14185,298,1,21025_1
14241,552,1,21051_1
14241,552,1,21051_2
14246,237,1,21054_1
14251,256,1,21056_1
14263,307,1,21059_1
14272,984,1,21063_1
14272,984,1,21063_2
14285,326,1,21067_1
14285,670,1,21070_1
14285,670,1,21070_2
14306,822,1,21073_1
14306,822,1,21073_2
14327,282,1,21078_1
14358,927,1,21092_1
14358,927,1,21092_2
14379,300,1,21142_1
14384,241,1,21175_1
14403,245,1,21229_1
14440,214,1,21284_1
14492,182,1,21489_1
14505,910,1,21522_1
14505,910,1,21522_2
14509,1622,1,21525_1
14509,1660,1,21527_1
14509,1937,1,21530_1
14509,1457,1,21533_1
14509,1585,1,21535_1
14509,1360,1,21538_1
14509,1586,1,21541_1
14510,1298,1,21543_1
14510,1517,1,21546_1
14510,1654,1,21549_1
14510,1708,1,21551_1
14510,1949,1,21554_1
14510,1805,1,21557_1
14510,1841,1,21559_1
14511,2589,1,21562_1
14511,2612,1,21565_1
14511,1824,1,21567_1
14511,2736,1,21570_1
14512,2580,1,21573_1
14514,196,1,21578_1
14522,2646,1,21581_1
14528,188,1,21584_1
14542,192,1,21586_1
14542,281,1,21592_1
14551,367,1,21594_1
14551,367,1,21594_2
14551,367,1,21594_3
14551,367,1,21594_4
14565,183,1,21599_1
14580,227,1,21605_1
14590,193,1,21609_1
14596,918,1,21617_1
14596,918,1,21617_2
14609,232,1,21623_1
14619,222,1,21631_1
14639,189,1,21639_1
14654,1074,1,21658_1
14654,1074,1,21658_2
14694,210,1,21680_1
14694,1214,1,21683_1
14723,1058,1,21687_1
14723,418,1,21689_1
14742,296,1,21697_1
14742,386,1,21700_1
14742,444,1,21703_1
14752,432,1,21706_1
14758,180,1,21725_1
14758,180,1,21725_2
14802,239,1,21797_1
14806,269,1,21805_1
14806,200,1,21810_1
14806,260,1,21812_1
14815,292,1,21816_1
14815,342,1,21819_1
14820,340,1,21821_1
14824,341,1,21824_1
14834,374,1,21828_1
14852,312,1,21856_1
14898,316,1,21951_1
14898,371,1,21954_1
14898,452,1,21956_1
14901,2607,1,21959_1
14901,2607,1,21959_2
14901,2607,1,21959_3
14905,2602,1,21963_1
14905,2602,1,21963_2
14905,2602,1,21963_3
14905,2602,1,21965_1
14905,2602,1,21965_2
14905,2602,1,21965_3
14905,2602,1,21968_1
14905,2602,1,21968_2
14905,2602,1,21968_3
14905,2602,1,21971_1
14905,2602,1,21971_2
14905,2602,1,21971_3
14906,2601,1,21973_1
14906,2601,1,21973_2
14906,2601,1,21973_3
14906,2601,1,21976_1
