timestamp,nodes_owned,nodes_cur_cap,nodes_in_use,nodes_indemand,jobs_waiting,jobs_running,jobs_completed,jobs_cancelled,jobs_failed
37752,49,49,0,0,0,0,416,0,0
37762,49,49,0,0,0,0,416,0,0
37773,49,49,0,0,0,0,416,0,0
37784,49,49,0,0,0,0,416,0,0
37795,49,49,0,0,0,0,416,0,0
37805,49,49,0,0,0,0,416,0,0
37816,49,49,0,0,0,0,416,0,0
37827,49,49,0,0,0,0,416,0,0
37838,49,49,0,0,0,0,416,0,0
37849,49,49,0,0,0,0,416,0,0
37859,49,49,0,0,0,0,416,0,0
37870,49,49,0,0,0,0,416,0,0
37881,49,49,0,0,0,0,416,0,0
37892,49,49,0,0,0,0,416,0,0
37903,49,49,0,0,0,0,416,0,0
37913,49,49,0,0,0,0,416,0,0
37924,49,49,0,0,0,0,416,0,0
37935,49,49,0,0,0,0,416,0,0
37946,49,49,0,0,0,0,416,0,0
37957,49,49,0,0,0,0,416,0,0
37967,49,49,0,0,0,0,416,0,0
37978,49,49,0,0,0,0,416,0,0
37989,49,49,0,0,0,0,416,0,0
37999,49,49,0,0,0,0,416,0,0
38010,49,49,0,0,0,0,416,0,0
38021,49,49,0,0,0,0,416,0,0
38032,49,49,0,0,0,0,416,0,0
38042,49,49,0,0,0,0,416,0,0
38053,49,49,0,0,0,0,416,0,0
38064,49,49,0,0,0,0,416,0,0
38074,49,49,0,0,0,0,416,0,0
38085,49,49,0,0,0,0,416,0,0
38096,49,49,0,0,0,0,416,0,0
38106,49,49,0,0,0,0,416,0,0
38117,49,49,0,0,0,0,416,0,0
38128,49,49,0,0,0,0,416,0,0
38139,49,49,0,0,0,0,416,0,0
38150,49,49,0,0,0,0,416,0,0
38160,49,49,0,0,0,0,416,0,0
38171,49,49,0,0,0,0,416,0,0
38182,49,49,0,0,0,0,416,0,0
38192,49,49,0,0,0,0,416,0,0
38203,49,49,0,0,0,0,416,0,0
38214,49,49,0,0,0,0,416,0,0
